id,name,full_name,legal_person,manager
000001.OF,华夏成长混合,华夏成长证券投资基金,华夏基金,阳琨
000003.OF,中海可转债债券A,中海可转换债券债券型证券投资基金,中海基金,章俊
000004.OF,中海可转债债券C,中海可转换债券债券型证券投资基金,中海基金,章俊
000005.OF,嘉实增强信用定期债券,嘉实增强信用定期开放债券型证券投资基金,嘉实基金,刘宁
000006.OF,西部利得量化成长混合A,西部利得量化成长混合型发起式证券投资基金,西部利得基金,盛丰衍
000008.OF,嘉实中证500ETF联接A,嘉实中证500交易型开放式指数证券投资基金联接基金,嘉实基金,陈正宪、何如
000009.OF,易方达天天理财货币A,易方达天天理财货币市场基金,易方达基金,石大怿、刘朝阳(休产假)
000010.OF,易方达天天理财货币B,易方达天天理财货币市场基金,易方达基金,石大怿、刘朝阳(休产假)
000011.OF,华夏大盘精选混合A,华夏大盘精选证券投资基金,华夏基金,陈伟彦
000013.OF,易方达天天理财货币R,易方达天天理财货币市场基金,易方达基金,石大怿、刘朝阳(休产假)
000014.OF,华夏聚利债券,华夏聚利债券型证券投资基金,华夏基金,何家琪
000015.OF,华夏纯债债券A,华夏纯债债券型证券投资基金,华夏基金,柳万军
000016.OF,华夏纯债债券C,华夏纯债债券型证券投资基金,华夏基金,柳万军
000017.OF,财通可持续混合,财通可持续发展主题混合型证券投资基金,财通基金,夏钦
000020.OF,景顺长城品质投资混合,景顺长城品质投资混合型证券投资基金,景顺长城基金,詹成
000021.OF,华夏优势增长混合,华夏优势增长混合型证券投资基金,华夏基金,郑晓辉
000024.OF,大摩双利增强债券A,摩根士丹利华鑫双利增强债券型证券投资基金,摩根士丹利华鑫基金,葛飞、张雪(休)
000025.OF,大摩双利增强债券C,摩根士丹利华鑫双利增强债券型证券投资基金,摩根士丹利华鑫基金,葛飞、张雪(休)
000028.OF,华富安鑫债券,华富安鑫债券型证券投资基金,华富基金,张惠
000029.OF,富国宏观策略灵活配置混合A,富国宏观策略灵活配置混合型证券投资基金,富国基金,袁宜
000030.OF,长城核心优选混合,长城核心优选灵活配置混合型证券投资基金,长城基金,雷俊、王卫林
000031.OF,华夏复兴混合,华夏复兴混合型证券投资基金,华夏基金,周克平
000032.OF,易方达信用债债券A,易方达信用债债券型证券投资基金,易方达基金,胡剑、纪玲云
000033.OF,易方达信用债债券C,易方达信用债债券型证券投资基金,易方达基金,胡剑、纪玲云
000037.OF,广发景宁债券A,广发景宁纯债债券型证券投资基金,广发基金,宋倩倩
000039.OF,农银高增长混合,农银汇理低估值高增长混合型证券投资基金,农银汇理基金,张燕
000041.OF,华夏全球股票(QDII),华夏全球精选股票型证券投资基金,华夏基金,李湘杰
000042.OF,财通中证ESG100指数增强A,中证财通中国可持续发展100(ECPI ESG)指数增强型证券投资基金,财通基金,朱海东
000043.OF,嘉实美国成长股票(QDII)人民币,嘉实美国成长股票型证券投资基金,嘉实基金,张自力
000044.OF,嘉实美国成长股票(QDII)美元现汇,嘉实美国成长股票型证券投资基金,嘉实基金,张自力
000045.OF,工银产业债债券A,工银瑞信产业债债券型证券投资基金,工银瑞信基金,何秀红
000046.OF,工银产业债债券B,工银瑞信产业债债券型证券投资基金,工银瑞信基金,何秀红
000047.OF,华夏双债债券A,华夏双债增强债券型证券投资基金,华夏基金,柳万军
000048.OF,华夏双债债券C,华夏双债增强债券型证券投资基金,华夏基金,柳万军
000049.OF,中银标普全球资源等权重指数(QDII),中银标普全球精选自然资源等权重指数证券投资基金,中银基金,陈学林
000051.OF,华夏沪深300ETF联接A,华夏沪深300交易型开放式指数证券投资基金联接基金,华夏基金,张弘弢、赵宗庭
000053.OF,鹏华永诚一年定开债券,鹏华永诚一年定期开放债券型证券投资基金,鹏华基金,刘涛
000054.OF,鹏华双债增利债券,鹏华双债增利债券型证券投资基金,鹏华基金,陈大烨
000055.OF,广发纳斯达克100指数美元现汇(QDII)A,广发纳斯达克100指数证券投资基金,广发基金,刘杰
000056.OF,建信消费升级混合,建信消费升级混合型证券投资基金,建信基金,邱宇航
000057.OF,中银消费主题混合,中银消费主题混合型证券投资基金,中银基金,钱亚风云
000058.OF,国联安安泰灵活配置混合,国联安安泰灵活配置混合型证券投资基金,国联安基金,林渌、洪阳玚
000059.OF,国联安中证医药100A,国联安中证医药100指数证券投资基金,国联安基金,黄欣
000061.OF,华夏盛世混合,华夏盛世精选混合型证券投资基金,华夏基金,赵航
000063.OF,长盛电子信息主题灵活配置混合,长盛电子信息主题灵活配置混合型证券投资基金,长盛基金,朱律
000064.OF,大摩18个月定期开放债券,摩根士丹利华鑫纯债稳定增利18个月定期开放债券型证券投资基金,摩根士丹利华鑫基金,李轶
000065.OF,国富焦点驱动混合,富兰克林国海焦点驱动灵活配置混合型证券投资基金,国海富兰克林基金,赵晓东、刘晓、刘怡敏(休产假)、王莉(代)
000066.OF,诺安鸿鑫混合,诺安鸿鑫混合型证券投资基金,诺安基金,宋德舜、李迪
000067.OF,民生加银转债优选A,民生加银转债优选债券型证券投资基金,民生加银基金,关键
000068.OF,民生加银转债优选C,民生加银转债优选债券型证券投资基金,民生加银基金,关键
000069.OF,国投瑞银中高等级债券A,国投瑞银中高等级债券型证券投资基金,国投瑞银基金,宋璐
000070.OF,国投瑞银中高等级债券C,国投瑞银中高等级债券型证券投资基金,国投瑞银基金,宋璐
000071.OF,华夏恒生ETF联接(QDII)A,恒生交易型开放式指数证券投资基金联接基金,华夏基金,徐猛
000072.OF,华安稳健回报混合,华安稳健回报混合型证券投资基金,华安基金,郑可成、舒灏
000073.OF,上投摩根成长动力混合,上投摩根成长动力混合型证券投资基金,上投摩根基金,刘辉
000074.OF,工银信用纯债一年定开债券A,工银瑞信信用纯债一年定期开放债券型证券投资基金,工银瑞信基金,何秀红
000075.OF,华夏恒生ETF联接现汇(QDII),恒生交易型开放式指数证券投资基金联接基金,华夏基金,徐猛
000076.OF,华夏恒生ETF联接现钞(QDII),恒生交易型开放式指数证券投资基金联接基金,华夏基金,徐猛
000077.OF,工银信用纯债一年定开债券C,工银瑞信信用纯债一年定期开放债券型证券投资基金,工银瑞信基金,何秀红
000078.OF,工银信用纯债三个月定开债A,工银瑞信信用纯债三个月定期开放债券型证券投资基金,工银瑞信基金,朱晨杰
000079.OF,工银信用纯债三个月定开债C,工银瑞信信用纯债三个月定期开放债券型证券投资基金,工银瑞信基金,朱晨杰
000080.OF,天治可转债增强债券A,天治可转债增强债券型证券投资基金,天治基金,王洋
000081.OF,天治可转债增强债券C,天治可转债增强债券型证券投资基金,天治基金,王洋
000082.OF,嘉实研究阿尔法股票,嘉实研究阿尔法股票型证券投资基金,嘉实基金,张露、肖觅
000083.OF,汇添富消费行业混合,汇添富消费行业混合型证券投资基金,汇添富基金,胡昕炜
000084.OF,博时安盈债券A,博时安盈债券型证券投资基金,博时基金,黄海峰
000085.OF,博时安盈债券C,博时安盈债券型证券投资基金,博时基金,黄海峰
000086.OF,南方稳利1年定期开放债券A,南方稳利1年定期开放债券型证券投资基金,南方基金,何康
000087.OF,嘉实中证金边中期国债ETF联接A,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金,嘉实基金,崔思维
000088.OF,嘉实中证金边中期国债ETF联接C,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金,嘉实基金,崔思维
000089.OF,民生加银高等级信用债C,民生加银高等级信用债债券型证券投资基金,民生加银基金,李文君
000090.OF,民生加银高等级信用债A,民生加银高等级信用债债券型证券投资基金,民生加银基金,李文君
000103.OF,国泰中国企业境外高收益债券(QDII),国泰中国企业境外高收益债券型证券投资基金,国泰基金,吴向军
000104.OF,华宸未来稳健添利债券A,华宸未来稳健添利债券型证券投资基金,华宸未来基金,朱文辉
000105.OF,建信安心回报债券A,建信安心回报定期开放债券型证券投资基金,建信基金,闫晗
000106.OF,建信安心回报债券C,建信安心回报定期开放债券型证券投资基金,建信基金,闫晗
000107.OF,富国稳健增强债券A/B,富国稳健增强债券型证券投资基金,富国基金,俞晓斌
000109.OF,富国稳健增强债券C,富国稳健增强债券型证券投资基金,富国基金,俞晓斌
000110.OF,金鹰元安混合A,金鹰元安混合型证券投资基金,金鹰基金,林龙军、杨晓斌
000111.OF,易方达纯债1年定期开放债券A,易方达纯债1年定期开放债券型证券投资基金,易方达基金,李一硕
000112.OF,易方达纯债1年定期开放债券C,易方达纯债1年定期开放债券型证券投资基金,易方达基金,李一硕
000113.OF,嘉实如意宝定期债券A/B,嘉实如意宝定期开放债券型证券投资基金,嘉实基金,王立芹
000115.OF,嘉实如意宝定期债券C,嘉实如意宝定期开放债券型证券投资基金,嘉实基金,王立芹
000116.OF,嘉实丰益纯债定期债券,嘉实丰益纯债定期开放债券型证券投资基金,嘉实基金,轩璇
000117.OF,广发轮动配置混合,广发轮动配置混合型证券投资基金,广发基金,吴兴武
000118.OF,广发聚鑫债券A,广发聚鑫债券型证券投资基金,广发基金,张芊
000119.OF,广发聚鑫债券C,广发聚鑫债券型证券投资基金,广发基金,张芊
000120.OF,中银美丽中国混合,中银美丽中国混合型证券投资基金,中银基金,严菲
000121.OF,华夏永福混合A,华夏永福混合型证券投资基金,华夏基金,何家琪
000122.OF,汇添富实业债债券A,汇添富实业债债券型证券投资基金,汇添富基金,徐一恒
000123.OF,汇添富实业债债券C,汇添富实业债债券型证券投资基金,汇添富基金,徐一恒
000124.OF,华宝服务优选混合,华宝服务优选混合型证券投资基金,华宝基金,代云锋
000126.OF,招商安润混合,招商安润灵活配置混合型证券投资基金,招商基金,任琳娜
000127.OF,农银行业领先混合,农银汇理行业领先混合型证券投资基金,农银汇理基金,张峰
000128.OF,大成景安短融债券A,大成景安短融债券型证券投资基金,大成基金,张俊杰
