id,name,type,price,price_change,price_radio
000001.SZ,平安银行,"货币金融服务,HS300_,MSCI中国,互联金融,区块链,富时罗素,机构重仓,标准普尔,深圳特区,深成500,深证100R,证金持股",18.53,-0.55,-2.8826
000002.SZ,万科A,"房地产业,AH股,HS300_,MSCI中国,REITs概念,养老概念,北京冬奥,央视50_,富时罗素,智能家居,标准普尔,深圳特区,深成500,深证100R,猪肉概念,租售同权,装配建筑,超级品牌",19.07,0.05,0.2629
000004.SZ,国华网安,"软件和信息技术服务业,5G概念,RCS概念,手游概念,深圳特区,物联网,网络安全,网络游戏,车联网,鸿蒙概念",19.16,-0.7,-3.5247
000005.SZ,ST星源,"生态保护和环境治理业,ST股,创投,深圳特区,节能环保",2.26,-0.02,-0.8772
000006.SZ,深振业A,"房地产业,国企改革,标准普尔,深圳特区,粤港自贸,证金持股",4.55,-0.04,-0.8715
000007.SZ,*ST全新,"房地产业,ST股,口罩,深圳特区,纾困概念",3.34,-0.06,-1.7647
000008.SZ,神州高铁,"铁路、船舶、航空航天和其他运输设备制造业,PPP模式,富时罗素,手游概念,标准普尔,深股通,融资融券,铁路基建",2.36,-0.04,-1.6667
000009.SZ,中国宝安,"综合,2025规划,中字头,中证500,储能,充电桩,军工,创投,北交所概念,华为概念,口罩,国产芯片,土地流转,基金重仓,富时罗素,小金属,新能源,新能源车,无人机,机构重仓,标准普尔,深圳特区,深成500,燃料电池,石墨烯,蝗虫防治,超级电容,锂电池,预盈预增,黄金概念",21.5,1.02,4.9805
000010.SZ,美丽生态,"土木工程建筑业,PPP模式,参股期货,深圳特区",3.73,-0.03,-0.7979
000011.SZ,深物业A,"房地产业,AB股,国企改革,富时罗素,深圳特区,深股通,租售同权,粤港自贸",12.26,-0.31,-2.4662
000012.SZ,南玻A,"非金属矿物制品业,AB股,OLED,中证500,光伏建筑一体化,军工,口罩,太阳能,富时罗素,新能源,机构重仓,标准普尔,深圳特区,深成500,特斯拉,粤港自贸,证金持股,雄安新区",10.3,-0.32,-3.0132
000014.SZ,沙河股份,"房地产业,深圳特区,粤港自贸",7.4,-0.18,-2.3747
000016.SZ,深康佳A,"计算机、通信和其他电子设备制造业,AB股,IPv6,MicroLED,MiniLED,PPP模式,分拆预期,创投,半导体,国产芯片,国企改革,富时罗素,智能家居,机构重仓,标准普尔,氮化镓,深圳特区,融资融券,超清视频,锂电池",7.22,-0.23,-3.0872
000017.SZ,深中华A,"铁路、船舶、航空航天和其他运输设备制造业,AB股,新零售,机构重仓,深圳特区,锂电池,黄金概念",3.72,-0.09,-2.3622
000019.SZ,深粮控股,"批发业,AB股,内贸流通,国企改革,标准普尔,深圳特区",7.05,-0.05,-0.7042
000020.SZ,深华发A,"计算机、通信和其他电子设备制造业,AB股,机构重仓,深圳特区",9,-0.09,-0.9901
000021.SZ,深科技,"计算机、通信和其他电子设备制造业,中证500,云计算,区块链,医疗器械,半导体,华为概念,参股券商,国产芯片,富时罗素,工业4.0,新能源车,无人机,智能电网,标准普尔,深圳特区,深成500,物联网,第三代半导体,融资融券,超级电容",15.12,-0.38,-2.4516
000023.SZ,深天地A,"非金属矿物制品业,健康中国,医疗器械,深圳特区,粤港自贸",13.88,-0.3,-2.1157
000025.SZ,特力A,"批发业,AB股,内贸流通,垃圾分类,富时罗素,新能源车,机构重仓,标准普尔,深圳特区,深股通,粤港自贸,融资融券",14.55,0.05,0.3448
000026.SZ,飞亚达,"零售业,AB股,内贸流通,军工,国企改革,基金重仓,智能穿戴,深圳特区,电商概念,航天概念",12,-0.27,-2.2005
000027.SZ,深圳能源,"电力、热力生产和供应业,IPO受益,MSCI中国,PPP模式,中证500,充电桩,光伏建筑一体化,创投,参股券商,垃圾分类,天然气,太阳能,富时罗素,新能源,标准普尔,深圳特区,深成500,独角兽,碳交易,节能环保,风能",8.66,0.3,3.5885
000028.SZ,国药一致,"批发业,AB股,中证500,互联医疗,内贸流通,冷链物流,单抗概念,国企改革,富时罗素,标准普尔,深圳特区,深成500,疫苗冷链",35.01,0.05,0.143
000029.SZ,深深房A,"房地产业,AB股,国企改革,深圳特区,粤港自贸",7.22,-0.13,-1.7687
000030.SZ,富奥股份,"汽车制造业,AB股,参股保险,富时罗素,换电概念,新能源车,标准普尔,融资融券,证金持股",5.9,-0.06,-1.0067
000031.SZ,大悦城,"房地产业,中证500,参股新三板,国企改革,富时罗素,标准普尔,深圳特区,深成500,证金持股",3.53,0.06,1.7291
000032.SZ,深桑达A,"批发业,LED,一带一路,云计算,国企改革,国家安防,大数据,无线充电,智慧城市,深圳特区,深股通,铁路基建",18.58,-0.19,-1.0123
000034.SZ,神州数码,"批发业,云计算,内贸流通,区块链,华为概念,富时罗素,数字孪生,标准普尔,深圳特区,深成500,深股通,物联网,网络安全,融资融券,边缘计算",15.78,-0.25,-1.5596
000035.SZ,中国天楹,"生态保护和环境治理业,PPP模式,垃圾分类,富时罗素,标准普尔,深成500,节能环保,融资融券",4.76,0.02,0.422
000036.SZ,华联控股,"房地产业,养老金,富时罗素,标准普尔,深圳特区,融资融券",4.24,-0.05,-1.1655
000037.SZ,深南电A,"电力、热力生产和供应业,AB股,机构重仓,核能核电,深圳特区",8.28,0.17,2.0962
000038.SZ,深大通,"商务服务业,化妆品概念,区块链,字节概念,工业大麻,深圳特区,网络游戏",9.14,0,0
000039.SZ,中集集团,"金属制品业,2025规划,AH股,MSCI中国,一带一路,中证500,冷链物流,参股券商,参股银行,可燃冰,天然气,富时罗素,标准普尔,氢能源,海工装备,海洋经济,深圳特区,深成500,物联网,疫苗冷链,粤港自贸,装配建筑,证金持股,雄安新区,风能",20,0.18,0.9082
000040.SZ,东旭蓝天,"电力、热力生产和供应业,PPP模式,光伏建筑一体化,区块链,天然气,太阳能,新能源,标准普尔,深圳特区,节能环保,融资融券,雄安新区",4.1,0.1,2.5
000042.SZ,中洲控股,"房地产业,标准普尔,深圳特区",7.66,-0.13,-1.6688
000045.SZ,深纺织A,"计算机、通信和其他电子设备制造业,AB股,OLED,国企改革,深圳特区,超清视频",9.27,-0.1,-1.0672
000046.SZ,泛海控股,"其他金融业,中证500,参股保险,参股券商,参股期货,参股银行,土地流转,富时罗素,影视概念,智慧城市,标准普尔,深成500,独角兽,蚂蚁概念,证金持股,阿里概念",2.08,-0.04,-1.8868
000048.SZ,京基智农,"农副食品加工业,乡村振兴,深圳特区,深股通,猪肉概念",17.42,-0.44,-2.4636
000049.SZ,德赛电池,"电气机械和器材制造业,5G概念,储能,华为概念,基金重仓,央视50_,富时罗素,小米概念,新能源,新能源车,无线充电,无线耳机,智能穿戴,标准普尔,深圳特区,物联网,苹果概念,锂电池",33.34,-0.77,-2.2574
000050.SZ,深天马A,"计算机、通信和其他电子设备制造业,MSCI中国,MicroLED,MiniLED,OLED,中证500,全息技术,华为概念,国产芯片,国企改革,富时罗素,小米概念,屏下摄像,新能源车,智能家居,智能穿戴,标准普尔,深圳特区,深成500,苹果概念,虚拟现实,超清视频",13.98,-0.02,-0.1429
000055.SZ,方大集团,"金属制品业,AB股,光伏建筑一体化,土地流转,太阳能,新能源,机构重仓,深圳特区",4.63,-0.06,-1.2793
000056.SZ,皇庭国际,"商务服务业,AB股,参股保险,国产芯片,机构重仓,深圳特区,租售同权",3,-0.18,-5.6604
000058.SZ,深赛格,"商务服务业,AB股,光伏建筑一体化,创投,北斗导航,参股新三板,国企改革,太阳能,深圳特区,电子竞技",6.02,0.02,0.3333
000059.SZ,华锦股份,"石油加工、炼焦和核燃料加工业,东北振兴,化工原料,国企改革,富时罗素,机构重仓,标准普尔,融资融券",8.78,-0.06,-0.6787
000060.SZ,中金岭南,"有色金属冶炼和压延加工业,MSCI中国,中证500,参股期货,基本金属,富时罗素,小金属,机构重仓,标准普尔,深圳特区,深成500,稀缺资源,转债标的",5.93,-0.22,-3.5772
000061.SZ,农产品,"商务服务业,中证500,区块链,参股银行,富时罗素,新零售,标准普尔,深圳特区,电商概念,网红直播,证金持股,食品安全",5.98,-0.2,-3.2362
000062.SZ,深圳华强,"批发业,中证500,互联金融,内贸流通,创投,半导体,华为概念,富时罗素,新能源车,标准普尔,深圳特区,深成500,电商概念,证金持股,雄安新区",14.02,-0.28,-1.958
